Model,accuracy,precision,recall,f1,auc,time_s,epochs,val_loss
Logistic Regression (Baseline),0.807,0.6584,0.5668,0.6092,0.8416,0.18,N/A,N/A
ANN / RMSProp (Primary),0.7835,0.5972,0.5668,0.5816,0.8365,35.3,57,0.478
